Time [yyyy-MM-dd HH:mm:ss];903.00_IJ.DOESBURG;922.00_IJ.BRUMMEN;932.00_IJ.ZUPTHEN;940.00_IJ.GORSSEL;947.00_IJ.DEVENTER;;;;;;
02-01-00 16:00;8.254;6.9496;6.0156;5.2524;4.5381;;;;;;
02-01-00 17:00;8.2535;6.9495;6.0154;5.2524;4.5381;;;;;;
02-01-00 18:00;8.2532;6.9494;6.0153;5.2524;4.5381;;;;;;
02-01-00 19:00;8.2533;6.9494;6.0153;5.2525;4.5382;;;;;;
02-01-00 20:00;8.2535;6.9495;6.0153;5.2525;4.5382;;;;;;
02-01-00 21:00;8.2539;6.9497;6.0153;5.2527;4.5384;;;;;;
02-01-00 22:00;8.2545;6.9501;6.0155;5.2528;4.5385;;;;;;
02-01-00 23:00;8.2553;6.9505;6.0157;5.2531;4.5387;;;;;;
03-01-00 00:00;8.2561;6.9511;6.016;5.2534;4.539;;;;;;
03-01-00 01:00;8.257;6.9519;6.0164;5.2537;4.5393;;;;;;
03-01-00 02:00;8.2581;6.9527;6.0168;5.2542;4.5396;;;;;;
03-01-00 03:00;8.2593;6.9536;6.0174;5.2547;4.5401;;;;;;
03-01-00 04:00;8.2606;6.9546;6.018;5.2553;4.5405;;;;;;
03-01-00 05:00;8.262;6.9558;6.0188;5.2559;4.541;;;;;;
03-01-00 06:00;8.2637;6.957;6.0196;5.2566;4.5416;;;;;;
03-01-00 07:00;8.2655;6.9584;6.0205;5.2574;4.5423;;;;;;
03-01-00 08:00;8.2675;6.9599;6.0215;5.2583;4.543;;;;;;
03-01-00 09:00;8.2698;6.9616;6.0226;5.2592;4.5437;;;;;;
03-01-00 10:00;8.2722;6.9634;6.0238;5.2603;4.5446;;;;;;
03-01-00 11:00;8.2748;6.9653;6.0252;5.2614;4.5455;;;;;;
03-01-00 12:00;8.2776;6.9674;6.0266;5.2626;4.5464;;;;;;
03-01-00 13:00;8.2806;6.9698;6.0282;5.264;4.5475;;;;;;
03-01-00 14:00;8.2839;6.9724;6.0301;5.2655;4.5488;;;;;;
03-01-00 15:00;8.2874;6.9753;6.0325;5.2673;4.5502;;;;;;
03-01-00 16:00;8.291;6.9785;6.0354;5.2694;4.5517;;;;;;
03-01-00 17:00;8.295;6.9821;6.0387;5.2719;4.5535;;;;;;
03-01-00 18:00;8.2991;6.986;6.0424;5.2747;4.5555;;;;;;
03-01-00 19:00;8.3035;6.9901;6.0465;5.2778;4.5577;;;;;;
03-01-00 20:00;8.308;6.9946;6.051;5.2812;4.5601;;;;;;
03-01-00 21:00;8.3128;6.9993;6.0557;5.2849;4.5627;;;;;;
03-01-00 22:00;8.3178;7.0043;6.0607;5.2889;4.5656;;;;;;
03-01-00 23:00;8.323;7.0096;6.066;5.2932;4.5687;;;;;;
04-01-00 00:00;8.3283;7.015;6.0716;5.2977;4.5721;;;;;;
04-01-00 01:00;8.3337;7.0207;6.0774;5.3024;4.5756;;;;;;
04-01-00 02:00;8.3392;7.0266;6.0834;5.3073;4.5793;;;;;;
04-01-00 03:00;8.3448;7.0326;6.0897;5.3125;4.5833;;;;;;
04-01-00 04:00;8.3505;7.0388;6.0961;5.3178;4.5874;;;;;;
04-01-00 05:00;8.3563;7.0451;6.1027;5.3234;4.5917;;;;;;
04-01-00 06:00;8.3622;7.0515;6.1095;5.3291;4.5961;;;;;;
04-01-00 07:00;8.3682;7.0581;6.1165;5.3349;4.6008;;;;;;
04-01-00 08:00;8.3743;7.0648;6.1236;5.341;4.6055;;;;;;
04-01-00 09:00;8.3804;7.0717;6.1309;5.3472;4.6104;;;;;;
04-01-00 10:00;8.3868;7.0786;6.1383;5.3535;4.6155;;;;;;
04-01-00 11:00;8.3932;7.0857;6.1458;5.36;4.6207;;;;;;
04-01-00 12:00;8.3996;7.0928;6.1535;5.3666;4.626;;;;;;
04-01-00 13:00;8.4062;7.1;6.1613;5.3735;4.6314;;;;;;
04-01-00 14:00;8.4128;7.1073;6.1693;5.3804;4.6369;;;;;;
04-01-00 15:00;8.4195;7.1146;6.1773;5.3875;4.6425;;;;;;
04-01-00 16:00;8.4263;7.122;6.1855;5.3947;4.6482;;;;;;
04-01-00 17:00;8.4332;7.1294;6.1938;5.4019;4.6541;;;;;;
04-01-00 18:00;8.4402;7.1369;6.2023;5.4093;4.66;;;;;;
04-01-00 19:00;8.4472;7.1446;6.211;5.4169;4.6659;;;;;;
04-01-00 20:00;8.4544;7.1523;6.2198;5.4245;4.672;;;;;;
04-01-00 21:00;8.4616;7.1602;6.2286;5.4323;4.6782;;;;;;
04-01-00 22:00;8.469;7.1681;6.2373;5.4401;4.6845;;;;;;
04-01-00 23:00;8.4763;7.176;6.246;5.4479;4.6909;;;;;;
05-01-00 00:00;8.4837;7.184;6.2547;5.4558;4.6973;;;;;;
05-01-00 01:00;8.4912;7.192;6.2634;5.4636;4.7038;;;;;;
05-01-00 02:00;8.4987;7.2;6.2721;5.4715;4.7103;;;;;;
05-01-00 03:00;8.5062;7.208;6.2808;5.4794;4.7168;;;;;;
05-01-00 04:00;8.5138;7.216;6.2895;5.4873;4.7235;;;;;;
05-01-00 05:00;8.5213;7.224;6.2984;5.4953;4.7302;;;;;;
05-01-00 06:00;8.5289;7.2321;6.3073;5.5033;4.7371;;;;;;
05-01-00 07:00;8.5365;7.2402;6.3162;5.5114;4.744;;;;;;
05-01-00 08:00;8.5441;7.2483;6.3252;5.5196;4.751;;;;;;
05-01-00 09:00;8.5516;7.2564;6.3343;5.5278;4.7582;;;;;;
05-01-00 10:00;8.5591;7.2646;6.3434;5.536;4.7656;;;;;;
05-01-00 11:00;8.5664;7.2727;6.3525;5.5443;4.7731;;;;;;
05-01-00 12:00;8.5736;7.2808;6.3618;5.5526;4.7807;;;;;;
05-01-00 13:00;8.5807;7.2889;6.371;5.561;4.7884;;;;;;
05-01-00 14:00;8.5878;7.2969;6.3803;5.5695;4.7961;;;;;;
05-01-00 15:00;8.5947;7.3049;6.3897;5.578;4.804;;;;;;
05-01-00 16:00;8.6016;7.3129;6.399;5.5867;4.8122;;;;;;
05-01-00 17:00;8.6084;7.3208;6.4082;5.5956;4.8205;;;;;;
05-01-00 18:00;8.6152;7.3286;6.4175;5.6043;4.829;;;;;;
05-01-00 19:00;8.6219;7.3364;6.4266;5.613;4.8375;;;;;;
05-01-00 20:00;8.6286;7.3442;6.4356;5.6217;4.8461;;;;;;
05-01-00 21:00;8.6351;7.3519;6.4445;5.6302;4.8548;;;;;;
05-01-00 22:00;8.6416;7.3595;6.4533;5.6387;4.8635;;;;;;
05-01-00 23:00;8.6481;7.367;6.462;5.6471;4.8722;;;;;;
06-01-00 00:00;8.6545;7.3745;6.4709;5.6552;4.8809;;;;;;
06-01-00 01:00;8.6609;7.382;6.48;5.6628;4.8896;;;;;;
06-01-00 02:00;8.6672;7.3894;6.4892;5.6698;4.898;;;;;;
06-01-00 03:00;8.6736;7.3968;6.4985;5.6769;4.9062;;;;;;
06-01-00 04:00;8.6802;7.4041;6.5077;5.6839;4.9144;;;;;;
06-01-00 05:00;8.6869;7.4115;6.5169;5.6911;4.9226;;;;;;
06-01-00 06:00;8.694;7.4189;6.526;5.6982;4.9308;;;;;;
06-01-00 07:00;8.7012;7.4263;6.535;5.7055;4.939;;;;;;
06-01-00 08:00;8.7088;7.4338;6.5439;5.7127;4.9473;;;;;;
06-01-00 09:00;8.7166;7.4413;6.5528;5.72;4.9557;;;;;;
06-01-00 10:00;8.7247;7.449;6.5615;5.7273;4.9642;;;;;;
06-01-00 11:00;8.7331;7.4567;6.5702;5.7346;4.9728;;;;;;
06-01-00 12:00;8.7418;7.4645;6.5789;5.7419;4.9814;;;;;;
06-01-00 13:00;8.7507;7.4724;6.5875;5.7493;4.9902;;;;;;
06-01-00 14:00;8.7599;7.4805;6.5961;5.7568;4.9992;;;;;;
06-01-00 15:00;8.7694;7.4886;6.6046;5.7643;5.0084;;;;;;
06-01-00 16:00;8.7792;7.4969;6.6132;5.7718;5.0177;;;;;;
06-01-00 17:00;8.7892;7.5053;6.6217;5.7794;5.0272;;;;;;
06-01-00 18:00;8.7995;7.5138;6.6302;5.787;5.0368;;;;;;
06-01-00 19:00;8.8099;7.5224;6.6387;5.7947;5.0466;;;;;;
06-01-00 20:00;8.8205;7.5311;6.6472;5.8024;5.0565;;;;;;
06-01-00 21:00;8.8313;7.5399;6.6557;5.8102;5.0666;;;;;;
06-01-00 22:00;8.8422;7.5487;6.6642;5.8181;5.0769;;;;;;
06-01-00 23:00;8.8532;7.5577;6.6727;5.826;5.0873;;;;;;
07-01-00 00:00;8.8644;7.5667;6.6814;5.834;5.0979;;;;;;
07-01-00 01:00;8.8757;7.5759;6.6906;5.8421;5.1087;;;;;;
07-01-00 02:00;8.8872;7.5853;6.7003;5.8504;5.1196;;;;;;
07-01-00 03:00;8.899;7.5948;6.7103;5.859;5.1307;;;;;;
07-01-00 04:00;8.911;7.6046;6.7206;5.8679;5.142;;;;;;
07-01-00 05:00;8.9233;7.6146;6.7311;5.8769;5.1533;;;;;;
07-01-00 06:00;8.9357;7.6248;6.7419;5.886;5.1648;;;;;;
07-01-00 07:00;8.9485;7.6352;6.7525;5.8953;5.1763;;;;;;
07-01-00 08:00;8.9616;7.6458;6.7628;5.9045;5.1879;;;;;;
07-01-00 09:00;8.975;7.6564;6.7729;5.9136;5.1993;;;;;;
07-01-00 10:00;8.9887;7.6672;6.7829;5.9225;5.2105;;;;;;
07-01-00 11:00;9.0026;7.6781;6.7928;5.9314;5.2214;;;;;;
07-01-00 12:00;9.0168;7.6891;6.8025;5.9402;5.2321;;;;;;
07-01-00 13:00;9.031;7.7001;6.8119;5.9488;5.2425;;;;;;
07-01-00 14:00;9.0453;7.7111;6.8208;5.957;5.2524;;;;;;
07-01-00 15:00;9.0596;7.7219;6.8291;5.9648;5.262;;;;;;
07-01-00 16:00;9.0739;7.7325;6.8367;5.9723;5.2712;;;;;;
07-01-00 17:00;9.088;7.7429;6.8439;5.9793;5.2798;;;;;;
07-01-00 18:00;9.1019;7.7531;6.8506;5.9859;5.288;;;;;;
07-01-00 19:00;9.1157;7.7631;6.857;5.9921;5.2957;;;;;;
07-01-00 20:00;9.1293;7.7729;6.8631;5.998;5.3031;;;;;;
07-01-00 21:00;9.1428;7.7825;6.8686;6.0035;5.31;;;;;;
07-01-00 22:00;9.1562;7.7919;6.8736;6.0086;5.3165;;;;;;
07-01-00 23:00;9.1694;7.801;6.878;6.0133;5.3226;;;;;;
08-01-00 00:00;9.1825;7.81;6.882;6.0177;5.3283;;;;;;
08-01-00 01:00;9.1953;7.8187;6.8856;6.0216;5.3336;;;;;;
08-01-00 02:00;9.208;7.8273;6.889;6.0253;5.3386;;;;;;
08-01-00 03:00;9.2205;7.8356;6.8923;6.0288;5.3432;;;;;;
08-01-00 04:00;9.2329;7.8438;6.8958;6.0321;5.3476;;;;;;
08-01-00 05:00;9.2451;7.8519;6.8996;6.0354;5.3518;;;;;;
08-01-00 06:00;9.2572;7.8599;6.9036;6.0388;5.3559;;;;;;
08-01-00 07:00;9.2693;7.8679;6.9076;6.0422;5.36;;;;;;
08-01-00 08:00;9.2814;7.8759;6.9117;6.0456;5.3639;;;;;;
08-01-00 09:00;9.2935;7.8839;6.9159;6.0491;5.3678;;;;;;
08-01-00 10:00;9.3057;7.8919;6.9201;6.0525;5.3716;;;;;;
08-01-00 11:00;9.318;7.9;6.9243;6.056;5.3754;;;;;;
08-01-00 12:00;9.3301;7.908;6.9285;6.0595;5.3791;;;;;;
08-01-00 13:00;9.3423;7.9161;6.9328;6.0629;5.3828;;;;;;
08-01-00 14:00;9.3543;7.9241;6.9371;6.0664;5.3864;;;;;;
08-01-00 15:00;9.3662;7.9322;6.9414;6.0698;5.39;;;;;;
08-01-00 16:00;9.3781;7.9402;6.9456;6.0732;5.3935;;;;;;
08-01-00 17:00;9.3898;7.9482;6.9499;6.0766;5.397;;;;;;
08-01-00 18:00;9.4014;7.9561;6.9542;6.08;5.4004;;;;;;
08-01-00 19:00;9.4129;7.964;6.9584;6.0834;5.4038;;;;;;
08-01-00 20:00;9.4244;7.9719;6.9627;6.0868;5.4072;;;;;;
08-01-00 21:00;9.4358;7.9797;6.9669;6.0901;5.4105;;;;;;
08-01-00 22:00;9.4471;7.9874;6.9711;6.0935;5.4137;;;;;;
08-01-00 23:00;9.4584;7.9952;6.9753;6.0968;5.417;;;;;;
09-01-00 00:00;9.4696;8.0028;6.9794;6.1001;5.4202;;;;;;
09-01-00 01:00;9.4807;8.0105;6.9835;6.1034;5.4233;;;;;;
09-01-00 02:00;9.4917;8.0181;6.9876;6.1066;5.4264;;;;;;
09-01-00 03:00;9.5028;8.0256;6.9917;6.1099;5.4295;;;;;;
09-01-00 04:00;9.5139;8.0332;6.9958;6.1131;5.4325;;;;;;
09-01-00 05:00;9.5251;8.0408;6.9999;6.1164;5.4356;;;;;;
09-01-00 06:00;9.5364;8.0483;7.0039;6.1196;5.4385;;;;;;
09-01-00 07:00;9.5477;8.0559;7.0079;6.1228;5.4415;;;;;;
09-01-00 08:00;9.5591;8.0634;7.012;6.126;5.4445;;;;;;
09-01-00 09:00;9.5707;8.071;7.016;6.1293;5.4474;;;;;;
09-01-00 10:00;9.5823;8.0786;7.0201;6.1325;5.4503;;;;;;
09-01-00 11:00;9.5941;8.0861;7.0241;6.1357;5.4531;;;;;;
09-01-00 12:00;9.6059;8.0937;7.0282;6.139;5.456;;;;;;
09-01-00 13:00;9.6179;8.1013;7.0322;6.1422;5.4588;;;;;;
09-01-00 14:00;9.63;8.109;7.0363;6.1455;5.4616;;;;;;
09-01-00 15:00;9.6421;8.1167;7.0404;6.1488;5.4645;;;;;;
09-01-00 16:00;9.6542;8.1244;7.0445;6.1521;5.4673;;;;;;
09-01-00 17:00;9.6664;8.1322;7.0487;6.1554;5.4701;;;;;;
09-01-00 18:00;9.6786;8.14;7.0528;6.1588;5.4729;;;;;;
09-01-00 19:00;9.6908;8.1478;7.057;6.1623;5.4757;;;;;;
09-01-00 20:00;9.7032;8.1554;7.0612;6.1657;5.4785;;;;;;
09-01-00 21:00;9.7159;8.1626;7.0653;6.1692;5.4813;;;;;;
09-01-00 22:00;9.7288;8.1698;7.0694;6.1726;5.4841;;;;;;
09-01-00 23:00;9.7419;8.1769;7.0734;6.1761;5.4868;;;;;;
10-01-00 00:00;9.755;8.184;7.0775;6.1795;5.4896;;;;;;
10-01-00 01:00;9.7682;8.1911;7.0816;6.1829;5.4923;;;;;;
10-01-00 02:00;9.7815;8.1982;7.0856;6.1863;5.495;;;;;;
10-01-00 03:00;9.7949;8.2054;7.0898;6.1898;5.4977;;;;;;
10-01-00 04:00;9.8083;8.2126;7.0939;6.1933;5.5004;;;;;;
10-01-00 05:00;9.822;8.2199;7.0982;6.1968;5.5032;;;;;;
10-01-00 06:00;9.8357;8.2272;7.1025;6.2004;5.5059;;;;;;
10-01-00 07:00;9.8495;8.2346;7.107;6.2041;5.5088;;;;;;
10-01-00 08:00;9.8629;8.242;7.1115;6.2076;5.5116;;;;;;
10-01-00 09:00;9.876;8.2494;7.1161;6.2113;5.5143;;;;;;
10-01-00 10:00;9.889;8.2568;7.1208;6.2151;5.5171;;;;;;
10-01-00 11:00;9.9018;8.2641;7.1255;6.2191;5.5199;;;;;;
10-01-00 12:00;9.9145;8.2713;7.1304;6.2231;5.5228;;;;;;
10-01-00 13:00;9.9272;8.2785;7.1353;6.2272;5.5257;;;;;;
10-01-00 14:00;9.9397;8.2856;7.1402;6.2314;5.5286;;;;;;
10-01-00 15:00;9.9521;8.2926;7.1452;6.2356;5.5315;;;;;;
10-01-00 16:00;9.9644;8.2995;7.1501;6.2399;5.5345;;;;;;
10-01-00 17:00;9.9765;8.3064;7.1551;6.2442;5.5375;;;;;;
10-01-00 18:00;9.9884;8.3131;7.1601;6.2485;5.5406;;;;;;
10-01-00 19:00;10;8.3197;7.1652;6.2529;5.5436;;;;;;
10-01-00 20:00;10.012;8.3263;7.1702;6.2573;5.5467;;;;;;
10-01-00 21:00;10.024;8.3328;7.1752;6.2617;5.5498;;;;;;
10-01-00 22:00;10.036;8.3392;7.1802;6.2662;5.5529;;;;;;
10-01-00 23:00;10.047;8.3456;7.1852;6.2706;5.556;;;;;;
11-01-00 00:00;10.059;8.3519;7.1902;6.2751;5.5591;;;;;;
11-01-00 01:00;10.071;8.3582;7.1953;6.2795;5.5623;;;;;;
11-01-00 02:00;10.083;8.3644;7.2003;6.284;5.5655;;;;;;
11-01-00 03:00;10.095;8.3706;7.2054;6.2886;5.5687;;;;;;
11-01-00 04:00;10.107;8.3767;7.2106;6.2932;5.5719;;;;;;
11-01-00 05:00;10.119;8.3826;7.2157;6.2978;5.5752;;;;;;
11-01-00 06:00;10.131;8.3885;7.2208;6.3024;5.5785;;;;;;
11-01-00 07:00;10.143;8.3943;7.2259;6.307;5.5818;;;;;;
11-01-00 08:00;10.156;8.4002;7.231;6.3116;5.5852;;;;;;
11-01-00 09:00;10.169;8.4063;7.2361;6.3163;5.5885;;;;;;
11-01-00 10:00;10.182;8.4124;7.2413;6.321;5.5919;;;;;;
11-01-00 11:00;10.196;8.4189;7.2467;6.3257;5.5953;;;;;;
11-01-00 12:00;10.209;8.4258;7.2523;6.3305;5.5988;;;;;;
11-01-00 13:00;10.222;8.4332;7.2582;6.3355;5.6023;;;;;;
11-01-00 14:00;10.235;8.4412;7.2645;6.3407;5.606;;;;;;
11-01-00 15:00;10.247;8.4495;7.2712;6.3462;5.6098;;;;;;
11-01-00 16:00;10.258;8.4582;7.2784;6.3521;5.6138;;;;;;
11-01-00 17:00;10.269;8.4671;7.286;6.3583;5.6181;;;;;;
11-01-00 18:00;10.28;8.476;7.2941;6.3649;5.6224;;;;;;
11-01-00 19:00;10.292;8.4852;7.3025;6.3722;5.6271;;;;;;
11-01-00 20:00;10.303;8.4949;7.3113;6.3797;5.6321;;;;;;
11-01-00 21:00;10.314;8.5048;7.3206;6.3875;5.6374;;;;;;
11-01-00 22:00;10.324;8.5149;7.3303;6.3957;5.643;;;;;;
11-01-00 23:00;10.334;8.5253;7.3404;6.4041;5.6489;;;;;;
12-01-00 00:00;10.344;8.5358;7.3508;6.4131;5.6551;;;;;;
12-01-00 01:00;10.354;8.5463;7.3616;6.4224;5.6617;;;;;;
12-01-00 02:00;10.363;8.557;7.3726;6.4321;5.6687;;;;;;
12-01-00 03:00;10.371;8.5676;7.384;6.442;5.6762;;;;;;
12-01-00 04:00;10.379;8.5779;7.3954;6.4519;5.6838;;;;;;
