Time [yyyy-MM-dd HH:mm:ss];903.00_IJ: Water level at (IJssel03_A_ 919)_ Flow1D [m AD];922.00_IJ: Water level at (IJssel03_B_B_A_ 0)_ Flow1D [m AD];932.00_IJ: Water level at (IJssel04_B_ 0)_ Flow1D [m AD];940.00_IJ: Water level at (IJssel05_B_ 0)_ Flow1D [m AD];947.00_IJ: Water level at (IJssel06_B_B_B_A_ 0)_ Flow1D [m AD]
29-12-99 23:00;7.9468;6.8607;6.0978;5.4342;4.7915
30-12-99 00:00;7.9351;6.8433;6.0787;5.4156;4.7754
30-12-99 01:00;7.924;6.8266;6.0601;5.3973;4.7592
30-12-99 02:00;7.9135;6.8106;6.0419;5.3792;4.7431
30-12-99 03:00;7.9035;6.7953;6.024;5.3614;4.7271
30-12-99 04:00;7.8941;6.7806;6.0066;5.3439;4.7111
30-12-99 05:00;7.8851;6.7666;5.9897;5.3268;4.6951
30-12-99 06:00;7.8766;6.7532;5.9733;5.3101;4.6793
30-12-99 07:00;7.8685;6.7403;5.9575;5.2938;4.6639
30-12-99 08:00;7.8607;6.728;5.9422;5.2778;4.6487
30-12-99 09:00;7.8533;6.7162;5.9275;5.2623;4.6338
30-12-99 10:00;7.8462;6.7048;5.9133;5.2472;4.6191
30-12-99 11:00;7.8394;6.694;5.8997;5.2325;4.6047
30-12-99 12:00;7.833;6.6835;5.8865;5.2182;4.5903
30-12-99 13:00;7.8267;6.6735;5.8737;5.2042;4.5761
30-12-99 14:00;7.8208;6.6639;5.8613;5.1906;4.562
30-12-99 15:00;7.8151;6.6546;5.8494;5.1772;4.548
30-12-99 16:00;7.8096;6.6456;5.8378;5.1642;4.5342
30-12-99 17:00;7.8043;6.637;5.8265;5.1514;4.5206
30-12-99 18:00;7.7992;6.6286;5.8156;5.139;4.5071
30-12-99 19:00;7.7943;6.6206;5.805;5.1268;4.4938
30-12-99 20:00;7.7895;6.6128;5.7947;5.1149;4.4806
30-12-99 21:00;7.785;6.6052;5.7847;5.1033;4.4677
30-12-99 22:00;7.7805;6.598;5.7749;5.0919;4.4549
30-12-99 23:00;7.7763;6.5909;5.7654;5.0808;4.4423
31-12-99 00:00;7.7721;6.5841;5.7562;5.0698;4.43
31-12-99 01:00;7.7681;6.5774;5.7472;5.0592;4.4179
31-12-99 02:00;7.7643;6.5709;5.7385;5.0488;4.4061
31-12-99 03:00;7.7605;6.5647;5.7299;5.0386;4.3945
31-12-99 04:00;7.7568;6.5586;5.7216;5.0287;4.3833
31-12-99 05:00;7.7533;6.5526;5.7136;5.0191;4.3724
31-12-99 06:00;7.7499;6.5469;5.7057;5.0097;4.3618
31-12-99 07:00;7.7465;6.5413;5.6981;5.0006;4.3517
31-12-99 08:00;7.7433;6.5359;5.6907;4.9919;4.3418
31-12-99 09:00;7.7401;6.5306;5.6835;4.9834;4.3324
31-12-99 10:00;7.737;6.5255;5.6765;4.9752;4.3232
31-12-99 11:00;7.734;6.5205;5.6698;4.9673;4.3144
31-12-99 12:00;7.7311;6.5157;5.6633;4.9596;4.3059
31-12-99 13:00;7.7283;6.5111;5.657;4.9523;4.2977
31-12-99 14:00;7.7256;6.5066;5.6509;4.9452;4.2899
31-12-99 15:00;7.7229;6.5023;5.645;4.9384;4.2823
31-12-99 16:00;7.7203;6.4981;5.6393;4.9319;4.2751
31-12-99 17:00;7.7178;6.4941;5.6339;4.9257;4.2681
31-12-99 18:00;7.7154;6.4902;5.6286;4.9197;4.2614
31-12-99 19:00;7.7131;6.4865;5.6236;4.9139;4.255
31-12-99 20:00;7.7108;6.4829;5.6187;4.9084;4.2488
31-12-99 21:00;7.7086;6.4795;5.6141;4.9031;4.2428
31-12-99 22:00;7.7065;6.4761;5.6096;4.898;4.2372
31-12-99 23:00;7.7045;6.4729;5.6053;4.8931;4.2317
01-01-00 00:00;7.7025;6.4698;5.6011;4.8884;4.2264
01-01-00 01:00;7.7006;6.4668;5.5972;4.8838;4.2214
01-01-00 02:00;7.6987;6.464;5.5934;4.8794;4.2166
01-01-00 03:00;7.6969;6.4612;5.5897;4.8752;4.2119
01-01-00 04:00;7.6952;6.4586;5.5862;4.8712;4.2074
01-01-00 05:00;7.6936;6.456;5.5828;4.8673;4.2031
01-01-00 06:00;7.6919;6.4536;5.5796;4.8636;4.199
01-01-00 07:00;7.6904;6.4512;5.5765;4.86;4.195
01-01-00 08:00;7.6888;6.4489;5.5735;4.8566;4.1912
01-01-00 09:00;7.6874;6.4467;5.5706;4.8533;4.1876
01-01-00 10:00;7.6859;6.4446;5.5679;4.8501;4.1841
01-01-00 11:00;7.6845;6.4425;5.5652;4.847;4.1807
01-01-00 12:00;7.6831;6.4405;5.5626;4.8441;4.1775
01-01-00 13:00;7.6818;6.4386;5.5602;4.8413;4.1744
01-01-00 14:00;7.6805;6.4368;5.5578;4.8386;4.1714
01-01-00 15:00;7.6792;6.4351;5.5555;4.836;4.1686
01-01-00 16:00;7.678;6.4334;5.5533;4.8335;4.1659
01-01-00 17:00;7.6768;6.4318;5.5512;4.8311;4.1633
01-01-00 18:00;7.6757;6.4302;5.5492;4.8289;4.1608
01-01-00 19:00;7.6745;6.4287;5.5473;4.8267;4.1584
01-01-00 20:00;7.6734;6.4272;5.5454;4.8246;4.1561
01-01-00 21:00;7.6724;6.4258;5.5436;4.8226;4.1539
01-01-00 22:00;7.6713;6.4245;5.5419;4.8206;4.1518
01-01-00 23:00;7.6703;6.4231;5.5403;4.8188;4.1498
02-01-00 00:00;7.6693;6.4219;5.5387;4.817;4.1479
02-01-00 01:00;7.6683;6.4207;5.5372;4.8153;4.1461
02-01-00 02:00;7.6674;6.4195;5.5357;4.8137;4.1443
02-01-00 03:00;7.6665;6.4183;5.5343;4.8121;4.1426
02-01-00 04:00;7.6656;6.4172;5.5329;4.8106;4.141
02-01-00 05:00;7.6647;6.4162;5.5316;4.8091;4.1394
02-01-00 06:00;7.6638;6.4151;5.5303;4.8077;4.1379
02-01-00 07:00;7.6629;6.4141;5.5291;4.8064;4.1365
02-01-00 08:00;7.662;6.4131;5.5279;4.8051;4.1351
02-01-00 09:00;7.661;6.4121;5.5268;4.8038;4.1338
02-01-00 10:00;7.6601;6.4111;5.5257;4.8026;4.1325
02-01-00 11:00;7.6592;6.4102;5.5246;4.8015;4.1313
02-01-00 12:00;7.6583;6.4093;5.5235;4.8003;4.1301
02-01-00 13:00;7.6574;6.4084;5.5225;4.7993;4.129
02-01-00 14:00;7.6565;6.4077;5.5216;4.7984;4.1281
02-01-00 15:00;7.6556;6.4071;5.5208;4.7976;4.1272
02-01-00 16:00;7.6548;6.4065;5.52;4.7969;4.1265
02-01-00 17:00;7.6539;6.406;5.5194;4.7963;4.1258
02-01-00 18:00;7.6534;6.4055;5.5188;4.7958;4.1252
02-01-00 19:00;7.6532;6.4052;5.5183;4.7953;4.1247
02-01-00 20:00;7.6533;6.4051;5.5179;4.795;4.1243
02-01-00 21:00;7.6537;6.4051;5.5176;4.7947;4.124
02-01-00 22:00;7.6542;6.4054;5.5175;4.7946;4.1237
02-01-00 23:00;7.655;6.4059;5.5175;4.7945;4.1236
03-01-00 00:00;7.6558;6.4065;5.5177;4.7947;4.1236
03-01-00 01:00;7.6569;6.4072;5.518;4.7949;4.1237
03-01-00 02:00;7.658;6.4081;5.5184;4.7952;4.1238
03-01-00 03:00;7.6593;6.4091;5.519;4.7957;4.1241
03-01-00 04:00;7.6608;6.4103;5.5197;4.7963;4.1245
03-01-00 05:00;7.6624;6.4116;5.5206;4.7971;4.125
03-01-00 06:00;7.6643;6.4131;5.5216;4.7979;4.1257
03-01-00 07:00;7.6663;6.4147;5.5227;4.7989;4.1264
03-01-00 08:00;7.6685;6.4165;5.5239;4.8;4.1272
03-01-00 09:00;7.6709;6.4185;5.5253;4.8012;4.1282
03-01-00 10:00;7.6736;6.4206;5.5268;4.8026;4.1292
03-01-00 11:00;7.6764;6.4229;5.5285;4.804;4.1304
03-01-00 12:00;7.6794;6.4253;5.5303;4.8057;4.1317
03-01-00 13:00;7.6827;6.4281;5.5323;4.8075;4.1332
03-01-00 14:00;7.6862;6.4312;5.5348;4.8097;4.1349
03-01-00 15:00;7.69;6.4348;5.5379;4.8122;4.1369
03-01-00 16:00;7.694;6.4387;5.5417;4.8153;4.1392
03-01-00 17:00;7.6983;6.4431;5.5461;4.8189;4.1418
03-01-00 18:00;7.7028;6.4479;5.551;4.8229;4.1448
03-01-00 19:00;7.7076;6.453;5.5563;4.8273;4.1481
03-01-00 20:00;7.7126;6.4585;5.5621;4.8322;4.1519
03-01-00 21:00;7.7179;6.4643;5.5683;4.8374;4.1559
03-01-00 22:00;7.7234;6.4704;5.5748;4.843;4.1603
03-01-00 23:00;7.7291;6.4767;5.5816;4.849;4.1651
04-01-00 00:00;7.7349;6.4833;5.5887;4.8553;4.1701
04-01-00 01:00;7.7409;6.4902;5.5961;4.8618;4.1755
04-01-00 02:00;7.747;6.4972;5.6038;4.8687;4.1811
04-01-00 03:00;7.7532;6.5044;5.6118;4.8758;4.187
04-01-00 04:00;7.7595;6.5118;5.62;4.8831;4.1932
04-01-00 05:00;7.766;6.5194;5.6284;4.8906;4.1996
04-01-00 06:00;7.7726;6.5271;5.637;4.8983;4.2062
04-01-00 07:00;7.7792;6.535;5.6458;4.9061;4.213
04-01-00 08:00;7.786;6.5431;5.6548;4.9142;4.22
04-01-00 09:00;7.7929;6.5513;5.6639;4.9224;4.2271
04-01-00 10:00;7.8;6.5596;5.6731;4.9308;4.2345
04-01-00 11:00;7.8071;6.5681;5.6826;4.9394;4.242
04-01-00 12:00;7.8144;6.5767;5.6921;4.9481;4.2497
04-01-00 13:00;7.8218;6.5853;5.7018;4.9569;4.2576
04-01-00 14:00;7.8292;6.5939;5.7117;4.9659;4.2656
04-01-00 15:00;7.8367;6.6025;5.7216;4.975;4.2737
04-01-00 16:00;7.8443;6.6113;5.7316;4.9842;4.2819
04-01-00 17:00;7.852;6.6201;5.7417;4.9934;4.2902
04-01-00 18:00;7.8599;6.629;5.7521;5.0029;4.2986
04-01-00 19:00;7.8678;6.6381;5.7626;5.0124;4.3072
04-01-00 20:00;7.8759;6.6473;5.7733;5.0221;4.3158
04-01-00 21:00;7.884;6.6566;5.7839;5.0319;4.3246
04-01-00 22:00;7.8922;6.666;5.7944;5.0417;4.3334
04-01-00 23:00;7.9005;6.6753;5.8049;5.0515;4.3423
05-01-00 00:00;7.9088;6.6847;5.8153;5.0613;4.3513
05-01-00 01:00;7.9172;6.694;5.8257;5.0711;4.3603
05-01-00 02:00;7.9256;6.7034;5.8361;5.0809;4.3694
05-01-00 03:00;7.9341;6.7128;5.8465;5.0907;4.3784
05-01-00 04:00;7.9425;6.7222;5.8569;5.1005;4.3876
05-01-00 05:00;7.9511;6.7316;5.8674;5.1103;4.3967
05-01-00 06:00;7.9596;6.7411;5.878;5.1203;4.4058
05-01-00 07:00;7.9682;6.7507;5.8887;5.1302;4.415
05-01-00 08:00;7.9768;6.7602;5.8993;5.1402;4.4243
05-01-00 09:00;7.9854;6.7699;5.9101;5.1502;4.4335
05-01-00 10:00;7.9938;6.7795;5.9208;5.1603;4.4428
05-01-00 11:00;8.0022;6.7891;5.9317;5.1704;4.4521
05-01-00 12:00;8.0104;6.7987;5.9426;5.1804;4.4615
05-01-00 13:00;8.0185;6.8082;5.9534;5.1905;4.4708
05-01-00 14:00;8.0266;6.8175;5.9643;5.2006;4.4802
05-01-00 15:00;8.0345;6.8269;5.9752;5.2107;4.4896
05-01-00 16:00;8.0424;6.8361;5.9861;5.2207;4.4989
05-01-00 17:00;8.0502;6.8454;5.9971;5.2308;4.5082
05-01-00 18:00;8.058;6.8549;6.008;5.2409;4.5174
05-01-00 19:00;8.0657;6.8644;6.0188;5.2509;4.5266
05-01-00 20:00;8.0734;6.8738;6.0296;5.2609;4.5358
05-01-00 21:00;8.0811;6.8832;6.0404;5.2709;4.5449
05-01-00 22:00;8.0887;6.8926;6.0512;5.2809;4.5539
05-01-00 23:00;8.0962;6.9019;6.0619;5.2909;4.5628
06-01-00 00:00;8.1037;6.9111;6.0724;5.3009;4.5717
06-01-00 01:00;8.1112;6.9203;6.0828;5.3107;4.5805
06-01-00 02:00;8.1186;6.9293;6.0931;5.3204;4.5893
06-01-00 03:00;8.126;6.9382;6.1033;5.3301;4.5979
06-01-00 04:00;8.1334;6.9471;6.1134;5.3396;4.6065
06-01-00 05:00;8.141;6.9559;6.1235;5.349;4.615
06-01-00 06:00;8.1487;6.9647;6.1334;5.3584;4.6234
06-01-00 07:00;8.1567;6.9736;6.1433;5.3678;4.6318
06-01-00 08:00;8.1648;6.9824;6.1532;5.3772;4.64
06-01-00 09:00;8.1732;6.9913;6.1631;5.3865;4.6481
06-01-00 10:00;8.1818;7.0003;6.173;5.3958;4.6562
06-01-00 11:00;8.1906;7.0094;6.183;5.405;4.6642
06-01-00 12:00;8.1997;7.0186;6.1929;5.4143;4.6721
06-01-00 13:00;8.209;7.0279;6.2029;5.4235;4.68
06-01-00 14:00;8.2187;7.0373;6.213;5.4327;4.6878
06-01-00 15:00;8.2286;7.0469;6.2231;5.4419;4.6956
06-01-00 16:00;8.2388;7.0566;6.2333;5.4511;4.7034
06-01-00 17:00;8.2493;7.0665;6.2435;5.4603;4.7112
06-01-00 18:00;8.26;7.0765;6.2539;5.4695;4.719
06-01-00 19:00;8.2708;7.0867;6.2643;5.4788;4.7269
06-01-00 20:00;8.2819;7.0969;6.2748;5.4882;4.7349
06-01-00 21:00;8.2931;7.1073;6.2854;5.4976;4.743
06-01-00 22:00;8.3044;7.1179;6.296;5.5071;4.7511
06-01-00 23:00;8.3159;7.1286;6.3068;5.5166;4.7593
07-01-00 00:00;8.3275;7.1396;6.3181;5.5263;4.7677
07-01-00 01:00;8.3392;7.1508;6.3301;5.5362;4.7763
07-01-00 02:00;8.3512;7.1624;6.343;5.5465;4.7851
07-01-00 03:00;8.3634;7.1743;6.3565;5.5572;4.7942
07-01-00 04:00;8.3759;7.1866;6.3705;5.5683;4.8036
07-01-00 05:00;8.3887;7.1993;6.3851;5.5798;4.8135
07-01-00 06:00;8.4017;7.2123;6.4;5.5918;4.8238
07-01-00 07:00;8.415;7.2255;6.4145;5.6041;4.8344
07-01-00 08:00;8.4286;7.2387;6.4286;5.6167;4.8452
07-01-00 09:00;8.4426;7.252;6.4422;5.6292;4.8564
07-01-00 10:00;8.4569;7.2653;6.4556;5.6413;4.8678
07-01-00 11:00;8.4715;7.2786;6.469;5.6532;4.8793
07-01-00 12:00;8.4863;7.2921;6.483;5.6643;4.8909
07-01-00 13:00;8.5013;7.3057;6.4971;5.6745;4.9022
07-01-00 14:00;8.5163;7.3193;6.5108;5.6845;4.9131
07-01-00 15:00;8.5315;7.3328;6.5238;5.6944;4.9239
07-01-00 16:00;8.5465;7.3461;6.5359;5.7041;4.9346
07-01-00 17:00;8.5615;7.3591;6.5473;5.7135;4.9453
07-01-00 18:00;8.5764;7.3718;6.558;5.7226;4.9558
07-01-00 19:00;8.5913;7.3842;6.5682;5.7315;4.9662
07-01-00 20:00;8.6061;7.3964;6.578;5.7402;4.9766
07-01-00 21:00;8.6209;7.4082;6.5869;5.7485;4.9868
07-01-00 22:00;8.6357;7.4197;6.595;5.7565;4.9969
07-01-00 23:00;8.6504;7.4309;6.6023;5.7641;5.007
08-01-00 00:00;8.6649;7.4416;6.609;5.7713;5.0168
08-01-00 01:00;8.6794;7.452;6.6153;5.7781;5.0264
08-01-00 02:00;8.694;7.4618;6.6211;5.7846;5.0358
08-01-00 03:00;8.7085;7.4714;6.6266;5.7907;5.0448
08-01-00 04:00;8.7229;7.4808;6.6323;5.7967;5.0537
08-01-00 05:00;8.7372;7.4901;6.6382;5.8025;5.0623
08-01-00 06:00;8.7514;7.4994;6.6443;5.8085;5.0708
08-01-00 07:00;8.7655;7.5087;6.6505;5.8144;5.0793
08-01-00 08:00;8.7796;7.518;6.6567;5.8203;5.0877
08-01-00 09:00;8.7938;7.5273;6.6628;5.8262;5.0961
08-01-00 10:00;8.8081;7.5366;6.6691;5.8321;5.1044
08-01-00 11:00;8.8224;7.5459;6.6753;5.838;5.1127
08-01-00 12:00;8.8368;7.5553;6.6815;5.8439;5.1209
08-01-00 13:00;8.8512;7.5647;6.6877;5.8497;5.129
08-01-00 14:00;8.8656;7.5742;6.6938;5.8555;5.137
08-01-00 15:00;8.8801;7.5836;6.7;5.8612;5.1448
08-01-00 16:00;8.8945;7.5931;6.7061;5.8668;5.1524
08-01-00 17:00;8.909;7.6025;6.7122;5.8724;5.16
08-01-00 18:00;8.9235;7.612;6.7182;5.8779;5.1673
08-01-00 19:00;8.9379;7.6214;6.7242;5.8833;5.1745
08-01-00 20:00;8.9523;7.6308;6.7302;5.8886;5.1816
08-01-00 21:00;8.9668;7.6402;6.736;5.8939;5.1885
08-01-00 22:00;8.9811;7.6496;6.7419;5.899;5.1952
08-01-00 23:00;8.9954;7.659;6.7476;5.9041;5.2018
09-01-00 00:00;9.0095;7.6684;6.7533;5.9091;5.2082
09-01-00 01:00;9.0236;7.6777;6.7591;5.914;5.2145
09-01-00 02:00;9.0376;7.6868;6.7649;5.9189;5.2206
09-01-00 03:00;9.0516;7.6959;6.7706;5.9238;5.2266
09-01-00 04:00;9.0656;7.7049;6.7764;5.9287;5.2324
09-01-00 05:00;9.0795;7.714;6.7821;5.9335;5.2382
09-01-00 06:00;9.0934;7.7232;6.7879;5.9383;5.2439
09-01-00 07:00;9.1074;7.7324;6.7936;5.943;5.2495
09-01-00 08:00;9.1214;7.7417;6.7993;5.9477;5.2549
09-01-00 09:00;9.1355;7.751;6.8051;5.9524;5.2604
09-01-00 10:00;9.1496;7.7603;6.8108;5.957;5.2657
09-01-00 11:00;9.1638;7.7697;6.8165;5.9616;5.271
09-01-00 12:00;9.178;7.7791;6.8223;5.9663;5.2762
09-01-00 13:00;9.1923;7.7886;6.828;5.9709;5.2813
09-01-00 14:00;9.2067;7.7981;6.8338;5.9756;5.2864
09-01-00 15:00;9.2212;7.8077;6.8395;5.9802;5.2915
09-01-00 16:00;9.2359;7.8175;6.8452;5.9848;5.2965
09-01-00 17:00;9.2506;7.8274;6.8509;5.9893;5.3014
09-01-00 18:00;9.2654;7.8374;6.8567;5.9938;5.3063
09-01-00 19:00;9.2802;7.8475;6.8624;5.9984;5.3111
09-01-00 20:00;9.2951;7.8576;6.8682;6.0029;5.3159
09-01-00 21:00;9.3101;7.8678;6.8741;6.0074;5.3206
09-01-00 22:00;9.325;7.878;6.8799;6.012;5.3253
09-01-00 23:00;9.3397;7.8883;6.8857;6.0166;5.33
10-01-00 00:00;9.3544;7.8985;6.8916;6.0212;5.3347
10-01-00 01:00;9.3689;7.9087;6.8974;6.0258;5.3394
10-01-00 02:00;9.3832;7.9188;6.9033;6.0305;5.3441
10-01-00 03:00;9.3974;7.9288;6.9091;6.0351;5.3487
10-01-00 04:00;9.4115;7.9388;6.9149;6.0397;5.3534
10-01-00 05:00;9.4258;7.9487;6.9207;6.0443;5.358
10-01-00 06:00;9.4402;7.9587;6.9265;6.049;5.3625
10-01-00 07:00;9.4548;7.9686;6.9323;6.0536;5.3671
10-01-00 08:00;9.4695;7.9786;6.9382;6.0582;5.3716
10-01-00 09:00;9.4844;7.9886;6.944;6.0628;5.3761
10-01-00 10:00;9.4995;7.9987;6.9498;6.0673;5.3805
10-01-00 11:00;9.5148;8.0088;6.9557;6.0719;5.385
10-01-00 12:00;9.5303;8.0191;6.9616;6.0766;5.3894
10-01-00 13:00;9.5459;8.0295;6.9675;6.0812;5.3938
10-01-00 14:00;9.5618;8.04;6.9734;6.0858;5.3983
10-01-00 15:00;9.5778;8.0505;6.9794;6.0905;5.4027
10-01-00 16:00;9.5939;8.0611;6.9855;6.0952;5.4071
10-01-00 17:00;9.61;8.0717;6.9915;6.1;5.4115
10-01-00 18:00;9.6263;8.0824;6.9977;6.1048;5.4159
10-01-00 19:00;9.6426;8.0931;7.0038;6.1096;5.4203
10-01-00 20:00;9.6589;8.1039;7.01;6.1145;5.4247
10-01-00 21:00;9.6753;8.1147;7.0163;6.1194;5.4291
10-01-00 22:00;9.6915;8.1256;7.0225;6.1242;5.4336
10-01-00 23:00;9.708;8.1362;7.0287;6.1291;5.438
11-01-00 00:00;9.7249;8.1463;7.0349;6.1341;5.4424
11-01-00 01:00;9.7421;8.1563;7.041;6.1391;5.4468
11-01-00 02:00;9.7596;8.1661;7.047;6.1441;5.4511
11-01-00 03:00;9.7771;8.176;7.0529;6.1491;5.4555
11-01-00 04:00;9.7949;8.1858;7.0589;6.1542;5.4598
11-01-00 05:00;9.8127;8.1957;7.065;6.1592;5.4641
11-01-00 06:00;9.8305;8.2057;7.0711;6.1644;5.4684
11-01-00 07:00;9.8482;8.2157;7.0773;6.1696;5.4727
11-01-00 08:00;9.8649;8.2257;7.0837;6.1749;5.477
11-01-00 09:00;9.881;8.2356;7.0901;6.1803;5.4813
11-01-00 10:00;9.8965;8.2452;7.0967;6.1857;5.4856
11-01-00 11:00;9.9117;8.2547;7.1032;6.1913;5.49
11-01-00 12:00;9.9267;8.2639;7.1098;6.1969;5.4943
11-01-00 13:00;9.9413;8.2728;7.1164;6.2026;5.4987
11-01-00 14:00;9.9556;8.2816;7.1229;6.2083;5.503
11-01-00 15:00;9.9697;8.2901;7.1294;6.214;5.5074
11-01-00 16:00;9.9835;8.2984;7.1359;6.2197;5.5117
11-01-00 17:00;9.997;8.3065;7.1423;6.2254;5.516
11-01-00 18:00;10.01;8.3144;7.1486;6.2311;5.5203
11-01-00 19:00;10.023;8.3221;7.1548;6.2367;5.5244
11-01-00 20:00;10.036;8.3297;7.161;6.2423;5.5286
11-01-00 21:00;10.049;8.3371;7.1671;6.2478;5.5327
11-01-00 22:00;10.062;8.3444;7.1732;6.2533;5.5367
11-01-00 23:00;10.076;8.3516;7.1792;6.2588;5.5407
12-01-00 00:00;10.088;8.3586;7.1851;6.2642;5.5447
12-01-00 01:00;10.101;8.3656;7.1911;6.2696;5.5486
12-01-00 02:00;10.114;8.3723;7.1969;6.275;5.5525
12-01-00 03:00;10.127;8.3788;7.2027;6.2803;5.5565
12-01-00 04:00;10.14;8.3853;7.2084;6.2855;5.5603
12-01-00 05:00;10.153;8.3917;7.2141;6.2908;5.5642
12-01-00 06:00;10.167;8.3982;7.2197;6.296;5.5681
12-01-00 07:00;10.18;8.4047;7.2254;6.3012;5.5719
12-01-00 08:00;10.194;8.4114;7.2311;6.3064;5.5757
12-01-00 09:00;10.207;8.4185;7.237;6.3117;5.5796
12-01-00 10:00;10.22;8.426;7.2431;6.317;5.5835
12-01-00 11:00;10.233;8.434;7.2497;6.3225;5.5875
12-01-00 12:00;10.245;8.4424;7.2566;6.3283;5.5916
12-01-00 13:00;10.256;8.451;7.2639;6.3344;5.5959
12-01-00 14:00;10.267;8.4598;7.2717;6.3409;5.6001
12-01-00 15:00;10.279;8.4687;7.2798;6.348;5.6048
12-01-00 16:00;10.29;8.4779;7.2883;6.3552;5.6096
12-01-00 17:00;10.3;8.4873;7.2971;6.3627;5.6147
12-01-00 18:00;10.311;8.4968;7.3062;6.3704;5.62
12-01-00 19:00;10.321;8.5066;7.3157;6.3784;5.6256
12-01-00 20:00;10.33;8.5165;7.3254;6.3868;5.6313
12-01-00 21:00;10.34;8.5265;7.3355;6.3955;5.6374
12-01-00 22:00;10.349;8.5366;7.3459;6.4044;5.6437
12-01-00 23:00;10.358;8.5467;7.3564;6.4137;5.6504
13-01-00 00:00;10.366;8.5568;7.3672;6.4232;5.6574
13-01-00 01:00;10.375;8.5668;7.3781;6.433;5.6647
13-01-00 02:00;10.383;8.5768;7.3892;6.443;5.6722
13-01-00 03:00;10.39;8.5867;7.4004;6.4532;5.6799
13-01-00 04:00;10.398;8.5964;7.4116;6.4636;5.6879
13-01-00 05:00;10.405;8.606;7.4229;6.4742;5.6962
13-01-00 06:00;10.411;8.6154;7.4342;6.4849;5.7046
13-01-00 07:00;10.418;8.6247;7.4454;6.4956;5.7133
13-01-00 08:00;10.425;8.6338;7.4565;6.5064;5.7222
13-01-00 09:00;10.431;8.6427;7.4675;6.5173;5.7311
13-01-00 10:00;10.437;8.6516;7.4786;6.5283;5.7399
13-01-00 11:00;10.443;8.6602;7.4896;6.5394;5.7487
13-01-00 12:00;10.448;8.6688;7.5007;6.5505;5.7577
13-01-00 13:00;10.454;8.6772;7.5117;6.5617;5.7667
13-01-00 14:00;10.46;8.6855;7.5227;6.5729;5.7759
13-01-00 15:00;10.466;8.6938;7.5337;6.5843;5.7852
13-01-00 16:00;10.472;8.7021;7.5448;6.5957;5.7946
13-01-00 17:00;10.478;8.7106;7.556;6.6071;5.8042
13-01-00 18:00;10.484;8.7191;7.5674;6.6187;5.814
13-01-00 19:00;10.491;8.728;7.579;6.6303;5.824
13-01-00 20:00;10.498;8.7371;7.5908;6.6421;5.8342
13-01-00 21:00;10.505;8.7467;7.603;6.6538;5.8447
13-01-00 22:00;10.512;8.757;7.6157;6.6658;5.8554
13-01-00 23:00;10.519;8.7678;7.629;6.6781;5.8664
14-01-00 00:00;10.526;8.7792;7.6427;6.6911;5.8779
14-01-00 01:00;10.533;8.7911;7.6568;6.7047;5.89
14-01-00 02:00;10.541;8.8034;7.6714;6.719;5.9029
14-01-00 03:00;10.548;8.8161;7.6863;6.7337;5.9165
14-01-00 04:00;10.555;8.829;7.7016;6.7489;5.9308
14-01-00 05:00;10.562;8.8422;7.7172;6.7646;5.9458
14-01-00 06:00;10.568;8.8554;7.7332;6.7807;5.9616
14-01-00 07:00;10.574;8.8688;7.7493;6.7972;5.9781
14-01-00 08:00;10.58;8.8822;7.7656;6.814;5.9954
14-01-00 09:00;10.586;8.8955;7.782;6.8312;6.0133
