Time [yyyy-MM-dd HH:mm:ss];903.00.IJ: Discharge at (IJssel03.A. 909). Flow1D [m³/s];922.00.IJ: Discharge at (IJssel03.B.B.A. 491.5215). Flow1D [m³/s];932.00.IJ: Discharge at (IJssel04.B. 2397.599). Flow1D [m³/s];940.00.IJ: Discharge at (IJssel05.B. 959.73). Flow1D [m³/s];947.00.IJ: Discharge at (IJssel06.B.B.B.A. 1302.778). Flow1D [m³/s]
30-12-99 20:00;475.94;487.77;538.88;549.06;574.78
30-12-99 21:00;476.12;487.64;538.21;548.15;573.42
30-12-99 22:00;476.29;487.51;537.57;547.3;572.13
30-12-99 23:00;476.46;487.4;536.98;546.49;570.91
31-12-99 00:00;476.62;487.29;536.42;545.73;569.7
31-12-99 01:00;476.77;487.2;535.9;544.99;568.51
31-12-99 02:00;476.91;487.1;535.39;544.28;567.35
31-12-99 03:00;477.05;487.02;534.91;543.59;566.23
31-12-99 04:00;477.18;486.93;534.43;542.93;565.13
31-12-99 05:00;477.3;486.86;533.98;542.27;564.03
31-12-99 06:00;477.42;486.78;533.53;541.63;562.94
31-12-99 07:00;477.54;486.7;533.08;540.99;561.87
31-12-99 08:00;477.64;486.63;532.64;540.36;560.82
31-12-99 09:00;477.75;486.55;532.21;539.74;559.81
31-12-99 10:00;477.84;486.47;531.78;539.13;558.84
31-12-99 11:00;477.94;486.39;531.35;538.54;557.89
31-12-99 12:00;478.02;486.31;530.94;537.96;556.97
31-12-99 13:00;478.11;486.23;530.53;537.39;556.07
31-12-99 14:00;478.18;486.14;530.13;536.81;555.2
31-12-99 15:00;478.25;486.04;529.71;536.24;554.37
31-12-99 16:00;478.32;485.94;529.3;535.68;553.58
31-12-99 17:00;478.37;485.85;528.9;535.15;552.81
31-12-99 18:00;478.43;485.75;528.51;534.63;552.08
31-12-99 19:00;478.48;485.65;528.14;534.14;551.37
31-12-99 20:00;478.52;485.55;527.77;533.66;550.69
31-12-99 21:00;478.56;485.46;527.42;533.2;550.03
31-12-99 22:00;478.6;485.36;527.08;532.75;549.4
31-12-99 23:00;478.63;485.25;526.72;532.31;548.8
01-01-00 00:00;478.65;485.15;526.38;531.88;548.2
01-01-00 01:00;478.68;485.05;526.06;531.46;547.63
01-01-00 02:00;478.7;484.95;525.75;531.07;547.08
01-01-00 03:00;478.71;484.85;525.46;530.69;546.56
01-01-00 04:00;478.72;484.76;525.17;530.32;546.05
01-01-00 05:00;478.73;484.66;524.9;529.97;545.56
01-01-00 06:00;478.73;484.57;524.63;529.63;545.1
01-01-00 07:00;478.73;484.47;524.37;529.3;544.65
01-01-00 08:00;478.72;484.38;524.13;528.99;544.21
01-01-00 09:00;478.71;484.29;523.89;528.69;543.8
01-01-00 10:00;478.69;484.2;523.65;528.39;543.4
01-01-00 11:00;478.68;484.11;523.43;528.11;543.02
01-01-00 12:00;478.65;484.02;523.21;527.84;542.64
01-01-00 13:00;478.63;483.93;523;527.57;542.29
01-01-00 14:00;478.6;483.84;522.79;527.32;541.96
01-01-00 15:00;478.57;483.75;522.6;527.07;541.64
01-01-00 16:00;478.54;483.66;522.41;526.83;541.33
01-01-00 17:00;478.5;483.58;522.22;526.61;541.03
01-01-00 18:00;478.47;483.49;522.04;526.39;540.74
01-01-00 19:00;478.43;483.41;521.87;526.17;540.47
01-01-00 20:00;478.38;483.32;521.7;525.97;540.21
01-01-00 21:00;478.34;483.24;521.54;525.77;539.95
01-01-00 22:00;478.3;483.16;521.38;525.58;539.71
01-01-00 23:00;478.25;483.07;521.23;525.39;539.48
02-01-00 00:00;478.21;482.99;521.08;525.21;539.25
02-01-00 01:00;478.16;482.91;520.94;525.04;539.03
02-01-00 02:00;478.11;482.83;520.8;524.87;538.83
02-01-00 03:00;478.06;482.75;520.66;524.71;538.63
02-01-00 04:00;478;482.67;520.53;524.55;538.43
02-01-00 05:00;477.93;482.59;520.4;524.4;538.25
02-01-00 06:00;477.85;482.51;520.27;524.25;538.07
02-01-00 07:00;477.77;482.42;520.15;524.1;537.9
02-01-00 08:00;477.68;482.34;520.03;523.96;537.73
02-01-00 09:00;477.58;482.25;519.91;523.83;537.57
02-01-00 10:00;477.48;482.15;519.79;523.69;537.41
02-01-00 11:00;477.37;482.06;519.67;523.56;537.26
02-01-00 12:00;477.25;481.96;519.55;523.43;537.12
02-01-00 13:00;477.15;481.83;519.42;523.27;537.01
02-01-00 14:00;477.05;481.71;519.28;523.13;536.94
02-01-00 15:00;476.94;481.59;519.15;522.99;536.9
02-01-00 16:00;476.82;481.47;519.04;522.87;536.86
02-01-00 17:00;476.69;481.35;518.92;522.76;536.85
02-01-00 18:00;476.87;481.24;518.82;522.66;536.84
02-01-00 19:00;477.19;481.18;518.73;522.57;536.84
02-01-00 20:00;477.5;481.16;518.66;522.5;536.86
02-01-00 21:00;477.81;481.19;518.61;522.44;536.89
02-01-00 22:00;478.11;481.25;518.59;522.41;536.95
02-01-00 23:00;478.41;481.35;518.6;522.4;537.02
03-01-00 00:00;478.71;481.46;518.64;522.42;537.11
03-01-00 01:00;479.01;481.6;518.7;522.46;537.23
03-01-00 02:00;479.32;481.76;518.78;522.53;537.37
03-01-00 03:00;479.65;481.94;518.89;522.61;537.53
03-01-00 04:00;480.02;482.13;519.02;522.72;537.72
03-01-00 05:00;480.43;482.34;519.16;522.86;537.93
03-01-00 06:00;480.87;482.58;519.33;523.01;538.15
03-01-00 07:00;481.36;482.85;519.53;523.18;538.4
03-01-00 08:00;481.88;483.14;519.74;523.38;538.67
03-01-00 09:00;482.44;483.46;519.98;523.6;538.96
03-01-00 10:00;483.03;483.81;520.24;523.84;539.28
03-01-00 11:00;483.65;484.19;520.53;524.11;539.61
03-01-00 12:00;484.3;484.6;520.84;524.4;539.97
03-01-00 13:00;484.99;485;521.16;524.68;540.42
03-01-00 14:00;485.71;485.42;521.59;525.02;540.93
03-01-00 15:00;486.44;485.83;522.22;525.5;541.53
03-01-00 16:00;487.18;486.22;522.99;526.11;542.22
03-01-00 17:00;487.92;486.63;523.87;526.85;543.02
03-01-00 18:00;488.67;487.05;524.83;527.68;543.93
03-01-00 19:00;489.43;487.5;525.86;528.6;544.91
03-01-00 20:00;490.2;487.96;526.95;529.58;545.98
03-01-00 21:00;490.97;488.44;528.09;530.63;547.12
03-01-00 22:00;491.75;488.94;529.29;531.74;548.33
03-01-00 23:00;492.53;489.45;530.53;532.9;549.6
04-01-00 00:00;493.2;489.98;531.8;534.11;550.92
04-01-00 01:00;493.87;490.52;533.12;535.35;552.29
04-01-00 02:00;494.54;491.06;534.47;536.64;553.71
04-01-00 03:00;495.22;491.61;535.84;537.96;555.18
04-01-00 04:00;495.9;492.16;537.17;539.29;556.68
04-01-00 05:00;496.58;492.72;538.55;540.64;558.2
04-01-00 06:00;497.25;493.27;539.93;542;559.75
04-01-00 07:00;497.93;493.84;541.35;543.39;561.33
04-01-00 08:00;498.6;494.42;542.79;544.8;562.94
04-01-00 09:00;499.32;495.02;544.24;546.23;564.57
04-01-00 10:00;500.05;495.62;545.72;547.69;566.22
04-01-00 11:00;500.77;496.24;547.21;549.16;567.91
04-01-00 12:00;501.49;496.88;548.73;550.65;569.61
04-01-00 13:00;502.23;497.61;550.29;552.13;571.34
04-01-00 14:00;502.97;498.33;551.87;553.63;573.09
04-01-00 15:00;503.71;499.05;553.45;555.14;574.83
04-01-00 16:00;504.46;499.78;555.04;556.67;576.57
04-01-00 17:00;505.28;500.51;556.69;558.22;578.33
04-01-00 18:00;506.13;501.24;558.39;559.82;580.11
04-01-00 19:00;506.97;501.98;560.13;561.45;581.92
04-01-00 20:00;507.81;502.73;561.9;563.12;583.76
04-01-00 21:00;508.65;503.52;563.62;564.8;585.63
04-01-00 22:00;509.49;504.34;565.28;566.44;587.5
04-01-00 23:00;510.33;505.19;566.91;568.07;589.36
05-01-00 00:00;511.17;506.05;568.54;569.68;591.21
05-01-00 01:00;512.02;506.93;570.17;571.27;593.06
05-01-00 02:00;512.88;507.81;571.79;572.87;594.89
05-01-00 03:00;513.72;508.7;573.41;574.46;596.72
05-01-00 04:00;514.56;509.59;575.07;576.06;598.57
05-01-00 05:00;515.44;510.48;576.75;577.68;600.42
05-01-00 06:00;516.32;511.35;578.45;579.32;602.3
05-01-00 07:00;517.18;512.24;580.17;580.98;604.18
05-01-00 08:00;518.02;513.13;581.9;582.66;606.09
05-01-00 09:00;518.85;514.02;583.64;584.35;608
05-01-00 10:00;519.53;514.89;585.4;586.05;609.93
05-01-00 11:00;520.15;515.74;587.2;587.75;611.87
05-01-00 12:00;520.77;516.55;589.01;589.46;613.83
05-01-00 13:00;521.39;517.36;590.84;591.18;615.78
05-01-00 14:00;522;518.14;592.67;592.88;617.73
05-01-00 15:00;522.6;518.89;594.52;594.59;619.71
05-01-00 16:00;523.2;519.61;596.4;596.33;621.72
05-01-00 17:00;523.79;520.26;598.29;598.09;623.74
05-01-00 18:00;524.35;520.84;600.16;599.85;625.79
05-01-00 19:00;524.91;521.46;602.03;601.61;627.85
05-01-00 20:00;525.44;522.08;603.9;603.38;629.93
05-01-00 21:00;525.96;522.71;605.77;605.15;632.01
05-01-00 22:00;526.49;523.33;607.63;606.85;634.09
05-01-00 23:00;527;523.97;609.44;608.56;636.19
06-01-00 00:00;527.51;524.62;611.19;610.25;638.31
06-01-00 01:00;528.01;525.27;612.95;611.92;640.44
06-01-00 02:00;528.54;525.93;614.7;613.56;642.56
06-01-00 03:00;529.11;526.59;616.45;615.19;644.66
06-01-00 04:00;529.77;527.27;618.18;616.82;646.76
06-01-00 05:00;530.51;527.96;619.91;618.44;648.85
06-01-00 06:00;531.38;528.68;621.64;620.07;650.94
06-01-00 07:00;532.33;529.43;623.37;621.61;653.03
06-01-00 08:00;533.36;530.22;625.07;623.18;655.07
06-01-00 09:00;534.47;531.04;626.79;624.78;657.12
06-01-00 10:00;535.65;531.92;628.54;626.41;659.17
06-01-00 11:00;536.88;532.83;630.32;628.04;661.2
06-01-00 12:00;538.18;533.8;632.12;629.7;663.24
06-01-00 13:00;539.54;534.79;633.95;631.39;665.29
06-01-00 14:00;541.03;535.82;635.83;633.12;667.34
06-01-00 15:00;542.58;536.91;637.75;634.88;669.41
06-01-00 16:00;544.17;538.05;639.72;636.66;671.49
06-01-00 17:00;545.79;539.24;641.72;638.48;673.59
06-01-00 18:00;547.45;540.48;643.76;640.33;675.7
06-01-00 19:00;549.07;541.76;645.83;642.19;677.74
06-01-00 20:00;550.7;543.08;647.93;644.06;679.82
06-01-00 21:00;552.37;544.44;650.05;645.96;681.93
06-01-00 22:00;554.08;545.86;652.19;647.89;684.06
06-01-00 23:00;555.84;547.33;654.37;649.85;686.18
07-01-00 00:00;557.62;548.78;656.78;651.88;688.31
07-01-00 01:00;559.49;550.12;659.61;654.09;690.55
07-01-00 02:00;561.39;551.39;662.75;656.51;692.9
07-01-00 03:00;563.36;552.71;666.07;659.11;695.38
07-01-00 04:00;565.42;554.1;669.54;661.87;697.96
07-01-00 05:00;567.38;555.52;673.13;664.72;700.44
07-01-00 06:00;569.41;556.96;676.78;667.67;703.21
07-01-00 07:00;571.54;558.57;680.28;670.79;706.15
07-01-00 08:00;573.78;560.37;683.54;674.07;709.27
07-01-00 09:00;576.12;562.3;686.66;677.39;712.51
07-01-00 10:00;578.58;564.35;689.78;680.65;715.85
07-01-00 11:00;581.13;566.47;692.25;683.76;719.2
07-01-00 12:00;583.77;568.56;694.32;686.31;722.42
07-01-00 13:00;586.2;570.66;696.5;688.35;725.18
07-01-00 14:00;588.63;572.85;698.77;690.78;727.58
07-01-00 15:00;591.15;575.17;701;693.39;729.99
07-01-00 16:00;593.5;577.62;703.06;695.95;732.42
07-01-00 17:00;595.87;580.17;705.02;698.43;734.84
07-01-00 18:00;598.33;582.79;706.93;700.83;737.23
07-01-00 19:00;600.87;585.46;708.8;703.18;739.56
07-01-00 20:00;603.47;588.16;710.66;705.5;741.85
07-01-00 21:00;606.13;590.97;712.28;707.74;744.08
07-01-00 22:00;608.85;593.89;713.58;709.77;746.16
07-01-00 23:00;611.53;596.89;714.69;711.56;748.09
08-01-00 00:00;614.25;599.92;715.68;713.16;749.86
08-01-00 01:00;616.93;602.81;716.58;714.61;751.49
08-01-00 02:00;619.62;605.7;717.37;715.92;752.99
08-01-00 03:00;622.34;608.6;718.21;717.14;754.38
08-01-00 04:00;625.01;611.45;719.34;718.36;755.66
08-01-00 05:00;627.71;614.22;720.75;719.71;756.88
08-01-00 06:00;630.44;616.96;722.29;721.19;758.16
08-01-00 07:00;633.19;619.68;723.92;722.79;759.52
08-01-00 08:00;635.97;622.4;725.61;724.46;760.97
08-01-00 09:00;638.92;625.13;727.34;726.2;762.47
08-01-00 10:00;641.93;627.89;729.12;727.98;764.03
08-01-00 11:00;644.95;630.68;730.95;729.83;765.7
08-01-00 12:00;647.98;633.5;732.83;731.74;767.45
08-01-00 13:00;651.02;636.35;734.75;733.72;769.26
08-01-00 14:00;654.06;639.22;736.72;735.75;771.14
08-01-00 15:00;657.12;642.11;738.74;737.84;773.08
08-01-00 16:00;660.18;645.03;740.79;739.97;775.08
08-01-00 17:00;663.27;647.94;742.89;742.15;777.14
08-01-00 18:00;666.36;650.86;745.01;744.38;779.23
08-01-00 19:00;669.47;653.81;747.17;746.63;781.36
08-01-00 20:00;672.59;656.78;749.35;748.91;783.53
08-01-00 21:00;675.74;659.77;751.56;751.23;785.73
08-01-00 22:00;679.07;662.79;753.79;753.57;787.95
08-01-00 23:00;682.32;665.84;756.06;755.93;790.19
09-01-00 00:00;685.45;668.95;758.35;758.31;792.46
09-01-00 01:00;688.58;672.16;760.73;760.74;794.74
09-01-00 02:00;691.77;675.36;763.17;763.18;796.96
09-01-00 03:00;695.07;678.62;765.63;765.66;799.23
09-01-00 04:00;698.51;681.96;768.12;768.19;801.57
09-01-00 05:00;702.11;685.44;770.65;770.77;803.96
09-01-00 06:00;705.81;688.94;773.23;773.38;806.39
09-01-00 07:00;709.6;692.46;775.85;776.05;808.86
09-01-00 08:00;713.48;696.02;778.52;778.75;811.37
09-01-00 09:00;717.43;699.63;781.23;781.5;813.91
09-01-00 10:00;721.39;703.28;783.98;784.28;816.49
09-01-00 11:00;725.32;706.98;786.77;787.09;819.11
09-01-00 12:00;729.27;710.69;789.59;789.88;821.71
09-01-00 13:00;733.35;714.45;792.45;792.73;824.35
09-01-00 14:00;737.53;718.24;795.35;795.64;827.05
09-01-00 15:00;741.78;721.96;798.27;798.59;829.8
09-01-00 16:00;746.05;725.73;801.19;801.55;832.58
09-01-00 17:00;750.36;729.57;804.15;804.54;835.39
09-01-00 18:00;754.69;733.47;807.17;807.57;838.22
09-01-00 19:00;759.03;737.43;810.25;810.65;841.1
09-01-00 20:00;763.4;741.44;813.4;813.78;844.01
09-01-00 21:00;767.77;745.49;816.62;816.94;846.97
09-01-00 22:00;772.23;749.58;819.91;820.19;849.97
09-01-00 23:00;776.72;753.65;823.23;823.5;853.03
10-01-00 00:00;781.22;757.71;826.58;826.82;856.08
10-01-00 01:00;785.82;761.78;829.96;830.17;859.16
10-01-00 02:00;790.49;765.82;833.36;833.56;862.3
10-01-00 03:00;795.25;769.84;836.77;836.98;865.49
10-01-00 04:00;800.15;773.86;840.2;840.42;868.71
10-01-00 05:00;805.26;777.92;843.66;843.9;871.97
10-01-00 06:00;810.55;782.02;847.16;847.4;875.25
10-01-00 07:00;815.99;786.19;850.71;850.95;878.57
10-01-00 08:00;821.57;790.42;854.28;854.53;881.92
10-01-00 09:00;827.31;794.74;857.9;858.14;885.3
10-01-00 10:00;833.19;799.13;861.57;861.8;888.73
10-01-00 11:00;839.3;803.62;865.29;865.5;892.19
10-01-00 12:00;845.52;808.2;869.07;869.26;895.69
10-01-00 13:00;851.8;812.8;872.91;873.06;899.26
10-01-00 14:00;858.12;817.46;876.81;876.92;902.89
10-01-00 15:00;864.46;822.17;880.78;880.85;906.58
10-01-00 16:00;870.78;826.96;884.81;884.82;910.33
10-01-00 17:00;877.1;831.81;888.9;888.84;914.12
10-01-00 18:00;883.46;836.73;893.05;892.92;917.97
10-01-00 19:00;889.85;841.7;897.26;897.06;921.88
10-01-00 20:00;896.23;846.72;901.53;901.26;925.84
10-01-00 21:00;902.66;851.78;905.86;905.52;929.86
10-01-00 22:00;909.31;857.15;910.62;910.51;934.88
10-01-00 23:00;915.64;861.68;915.09;914.77;938.78
11-01-00 00:00;921.76;865.98;919.48;919.11;942.85
11-01-00 01:00;927.86;870.5;923.79;923.43;946.98
11-01-00 02:00;934.07;875.31;928.2;927.78;951.12
11-01-00 03:00;940.28;880.36;932.6;932.16;955.31
11-01-00 04:00;946.43;885.63;937.06;936.58;959.53
11-01-00 05:00;952.55;891.08;941.59;941.05;963.79
11-01-00 06:00;958.56;896.72;946.24;945.6;968.11
11-01-00 07:00;964.34;902.51;951.02;950.26;972.49
11-01-00 08:00;967.96;908.36;955.93;955.02;976.97
11-01-00 09:00;971.57;914.12;960.98;959.91;981.57
11-01-00 10:00;975.38;919.78;966.11;964.91;986.27
11-01-00 11:00;979.29;925.35;971.3;970;991.08
11-01-00 12:00;983.14;930.85;976.5;975.16;995.98
11-01-00 13:00;987.27;936.28;981.72;980.34;1001
11-01-00 14:00;991.57;941.68;986.93;985.52;1006
11-01-00 15:00;996.06;947.04;992.13;990.72;1011
11-01-00 16:00;1000.8;952.34;997.32;995.91;1016
11-01-00 17:00;1005.7;957.59;1002.5;1001.1;1021.1
11-01-00 18:00;1010.8;962.82;1007.6;1006.2;1026.1
11-01-00 19:00;1015.9;968.03;1012.7;1011.4;1031.1
11-01-00 20:00;1021.1;973.24;1017.7;1016.5;1036.1
11-01-00 21:00;1026.4;978.46;1022.8;1021.6;1041.1
11-01-00 22:00;1031.4;983.68;1027.8;1026.6;1046.1
11-01-00 23:00;1037;988.88;1032.8;1031.7;1051
12-01-00 00:00;1042;994.12;1037.8;1036.6;1055.8
12-01-00 01:00;1047.5;999.35;1042.7;1041.6;1060.7
12-01-00 02:00;1053.4;1004.3;1047.7;1046.6;1065.5
12-01-00 03:00;1059.5;1009.2;1052.5;1051.4;1070.2
12-01-00 04:00;1065.8;1014.2;1057.3;1056.3;1074.9
12-01-00 05:00;1072.3;1019.4;1062;1061;1079.6
12-01-00 06:00;1078.9;1024.8;1066.8;1065.8;1084.2
12-01-00 07:00;1085.7;1030.3;1071.6;1070.5;1088.7
12-01-00 08:00;1092.8;1036.4;1076.5;1075.3;1093.3
12-01-00 09:00;1100.3;1043.2;1081.5;1080.2;1097.9
12-01-00 10:00;1107.9;1050.6;1086.7;1085.2;1102.6
12-01-00 11:00;1115;1058.6;1092.3;1090.4;1107.4
12-01-00 12:00;1122.3;1066.9;1098.4;1096;1112.5
12-01-00 13:00;1128.9;1075.5;1104.9;1102;1117.9
12-01-00 14:00;1136.1;1083.5;1111.1;1107.4;1122.2
12-01-00 15:00;1145.6;1092.4;1118;1113.9;1128.4
12-01-00 16:00;1155.1;1101.7;1125.4;1120.9;1135
12-01-00 17:00;1164.7;1111.3;1133.1;1128.3;1141.8
12-01-00 18:00;1174.5;1121.2;1141.2;1135.9;1148.9
12-01-00 19:00;1184.4;1131.4;1149.5;1143.7;1156.2
12-01-00 20:00;1194.4;1141.8;1158.2;1151.9;1163.7
12-01-00 21:00;1204.5;1152.4;1167.1;1160.5;1171.6
12-01-00 22:00;1214.7;1163.2;1176.4;1169.4;1179.8
12-01-00 23:00;1224.8;1174;1186;1178.6;1188.4
13-01-00 00:00;1234.9;1185;1195.8;1188.1;1197.2
13-01-00 01:00;1244.9;1196;1205.7;1197.7;1206.3
13-01-00 02:00;1254.8;1207;1215.7;1207.5;1215.6
13-01-00 03:00;1264.7;1217.9;1225.9;1217.4;1225
13-01-00 04:00;1274.4;1228.6;1236.1;1227.3;1234.4
13-01-00 05:00;1284.1;1239.3;1246.2;1237.3;1243.9
13-01-00 06:00;1293.7;1249.9;1256.3;1247.3;1253.5
13-01-00 07:00;1303.4;1260.4;1266.2;1257.2;1263
13-01-00 08:00;1313.2;1270.8;1276;1266.9;1272.4
13-01-00 09:00;1323;1281.2;1285.7;1276.5;1281.5
13-01-00 10:00;1332.5;1291.6;1295.2;1285.9;1290.8
13-01-00 11:00;1342.1;1301.8;1304.7;1295.4;1299.9
13-01-00 12:00;1351.9;1312;1314.2;1304.8;1309
13-01-00 13:00;1362.1;1322.3;1323.5;1314.1;1317.9
13-01-00 14:00;1372.7;1332.6;1332.9;1323.3;1326.9
13-01-00 15:00;1383.9;1343.1;1342.2;1332.5;1335.8
13-01-00 16:00;1395.8;1353.9;1351.5;1341.8;1344.7
13-01-00 17:00;1408.5;1365.2;1361;1351.2;1353.7
13-01-00 18:00;1422.3;1376.9;1370.7;1360.7;1362.8
13-01-00 19:00;1436.8;1389.2;1380.6;1370.5;1372
13-01-00 20:00;1452.2;1402.1;1390.4;1380.4;1381.5
13-01-00 21:00;1468.4;1415.7;1400.5;1390.2;1390.9
13-01-00 22:00;1485.6;1430.8;1411.2;1400.6;1400.6
13-01-00 23:00;1503.5;1446.7;1422.7;1411.5;1410.6
14-01-00 00:00;1522.1;1463.7;1435.6;1423.3;1421.2
14-01-00 01:00;1541.2;1481.6;1449.4;1436.2;1432.7
14-01-00 02:00;1560.7;1499.9;1463.6;1449.7;1445
14-01-00 03:00;1580.5;1518.7;1478.2;1463.8;1457.8
14-01-00 04:00;1600.1;1537.9;1493.4;1478.2;1471
14-01-00 05:00;1619.5;1557.3;1509;1493.2;1484.7
14-01-00 06:00;1638.6;1576.7;1524.9;1508.6;1498.7
14-01-00 07:00;1657;1596.3;1541.2;1524.4;1513.2
14-01-00 08:00;1675;1615.5;1557.8;1540.5;1528
14-01-00 09:00;1692.6;1634.4;1574.6;1557;1543.3
14-01-00 10:00;1709.8;1653.1;1591.6;1573.9;1559.3
14-01-00 11:00;1726.6;1671.3;1608.7;1590.9;1575.4
14-01-00 12:00;1743.2;1689.4;1626.1;1608.1;1591.7
14-01-00 13:00;1760.7;1707.1;1643.8;1625.6;1608.2
14-01-00 14:00;1778.2;1724.7;1661.6;1643.2;1624.9
14-01-00 15:00;1795.3;1742;1679.3;1660.9;1641.9
14-01-00 16:00;1812.3;1759.1;1697.2;1678.8;1659.1
14-01-00 17:00;1830.6;1776.4;1715.1;1696.8;1676.6
14-01-00 18:00;1850.5;1794.6;1733.3;1715.1;1694.2
14-01-00 19:00;1869.9;1813.2;1751.8;1733.6;1711.9
14-01-00 20:00;1888.8;1831.6;1770.8;1752.4;1729.8
14-01-00 21:00;1907.7;1850;1790;1771.5;1747.9
14-01-00 22:00;1926.6;1868.3;1809.3;1790.7;1766.1
14-01-00 23:00;1945.5;1886.7;1827.8;1809.5;1784.3
15-01-00 00:00;1964.3;1905;1843.7;1824.3;1800.9
15-01-00 01:00;1983;1923;1859.2;1838.9;1815.5
15-01-00 02:00;2001.4;1940.9;1875.5;1854.7;1830.4
15-01-00 03:00;2019.5;1958.5;1892.5;1871.2;1845.8
15-01-00 04:00;2037;1975.9;1910;1888.3;1861.6
15-01-00 05:00;2053.8;1992.9;1927.6;1905.5;1877.7
15-01-00 06:00;2069.7;2009.4;1945.8;1923;1893.9
15-01-00 07:00;2084.8;2025.2;1963.9;1940.8;1910.3
15-01-00 08:00;2099;2040.3;1981.2;1958;1926.9
15-01-00 09:00;2112;2054.6;1997.8;1974.6;1943.3
15-01-00 10:00;2124;2068.3;2013.7;1990.6;1959.4
15-01-00 11:00;2120.9;2081.7;2032.2;2007.8;1973.5
15-01-00 12:00;2124.5;2088;2044.1;2020.9;1989.3
15-01-00 13:00;2134.7;2095.1;2056.1;2034.5;2004.8
15-01-00 14:00;2146;2103.9;2068;2047.7;2019
15-01-00 15:00;2157.2;2113.8;2079.7;2060.2;2032.2
15-01-00 16:00;2167.9;2124.3;2091.1;2072.1;2043.8
15-01-00 17:00;2177.9;2134.7;2102.9;2084.3;2055.5
15-01-00 18:00;2187.2;2144.9;2114.8;2096.8;2067.2
15-01-00 19:00;2195.9;2154.8;2126.6;2109.1;2078.9
15-01-00 20:00;2204.1;2164.3;2139.3;2118.9;2089.2
15-01-00 21:00;2211.7;2173.6;2151.3;2127.9;2098.8
15-01-00 22:00;2218.9;2182.4;2163.4;2136.3;2108.1
15-01-00 23:00;2225.7;2191.1;2175.2;2144.1;2117
16-01-00 00:00;2232.1;2199.3;2186.7;2151.3;2125.3
16-01-00 01:00;2238.1;2207.1;2197.8;2158.1;2133
16-01-00 02:00;2243.9;2214.6;2208.4;2164.4;2140.3
16-01-00 03:00;2249.4;2221.8;2218.3;2170.2;2147.1
16-01-00 04:00;2254.5;2228.6;2227.7;2175.4;2153.3
16-01-00 05:00;2259.1;2235;2236.6;2180.3;2159.1
